[17-Feb-2015 14:45:14 UTC] PHP Notice:  Undefined index: maxplayers in /home/ubuntu/workspace/api/index.php on line 16
[17-Feb-2015 14:45:27 UTC] PHP Notice:  Undefined index: query in /home/ubuntu/workspace/api/index.php on line 10
[17-Feb-2015 14:45:27 UTC] PHP Notice:  Undefined index: maxplayers in /home/ubuntu/workspace/api/index.php on line 16
[17-Feb-2015 15:01:06 UTC] PHP Notice:  Undefined index: query in /home/ubuntu/workspace/api/index.php on line 10
[17-Feb-2015 15:01:06 UTC] PHP Notice:  Undefined index: maxplayers in /home/ubuntu/workspace/api/index.php on line 16
[17-Feb-2015 15:04:29 UTC] PHP Notice:  Undefined index: maxplayers in /home/ubuntu/workspace/api/index.php on line 16
[17-Feb-2015 15:04:34 UTC] PHP Notice:  Undefined index: maxplayers in /home/ubuntu/workspace/api/index.php on line 16
[17-Feb-2015 15:04:37 UTC] PHP Notice:  Undefined index: maxplayers in /home/ubuntu/workspace/api/index.php on line 16
[17-Feb-2015 15:04:41 UTC] PHP Notice:  Undefined index: maxplayers in /home/ubuntu/workspace/api/index.php on line 16
[17-Feb-2015 15:04:44 UTC] PHP Notice:  Undefined index: maxplayers in /home/ubuntu/workspace/api/index.php on line 16
[17-Feb-2015 15:04:46 UTC] PHP Notice:  Undefined index: maxplayers in /home/ubuntu/workspace/api/index.php on line 16
[17-Feb-2015 15:10:29 UTC] PHP Notice:  Undefined variable: default in /home/ubuntu/workspace/api/index.php on line 34
[17-Feb-2015 15:10:29 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 37
[17-Feb-2015 15:11:08 UTC] PHP Notice:  Undefined variable: default in /home/ubuntu/workspace/api/index.php on line 34
[17-Feb-2015 15:11:08 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 37
[17-Feb-2015 15:11:41 UTC] PHP Notice:  Undefined variable: default in /home/ubuntu/workspace/api/index.php on line 34
[17-Feb-2015 15:11:41 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 37
[17-Feb-2015 15:11:45 UTC] PHP Notice:  Undefined variable: default in /home/ubuntu/workspace/api/index.php on line 34
[17-Feb-2015 15:11:45 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 37
[17-Feb-2015 15:11:54 UTC] PHP Notice:  Undefined variable: default in /home/ubuntu/workspace/api/index.php on line 34
[17-Feb-2015 15:11:54 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 37
[17-Feb-2015 15:12:41 UTC] PHP Notice:  Undefined variable: default in /home/ubuntu/workspace/api/index.php on line 34
[17-Feb-2015 15:12:41 UTC] PHP Notice:  Undefined variable: min in /home/ubuntu/workspace/api/index.php on line 34
[17-Feb-2015 15:12:41 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 37
[17-Feb-2015 15:14:20 UTC] PHP Notice:  Undefined variable: min in /home/ubuntu/workspace/api/index.php on line 37
[17-Feb-2015 15:14:20 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 40
[17-Feb-2015 15:14:56 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 41
[17-Feb-2015 15:16:30 UTC] PHP Notice:  Undefined variable: min in /home/ubuntu/workspace/api/index.php on line 35
[17-Feb-2015 15:16:30 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 38
[17-Feb-2015 15:18:19 UTC] PHP Notice:  Undefined variable: min in /home/ubuntu/workspace/api/index.php on line 36
[17-Feb-2015 15:18:19 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 39
[17-Feb-2015 15:26:59 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/api/index.php on line 53
[17-Feb-2015 15:27:36 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/api/index.php on line 54
[17-Feb-2015 15:27:38 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/api/index.php on line 54
[17-Feb-2015 15:27:53 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 42
[17-Feb-2015 15:28:19 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 42
[17-Feb-2015 15:28:26 UTC] PHP Notice:  Use of undefined constant min - assumed 'min' in /home/ubuntu/workspace/api/index.php on line 32
[17-Feb-2015 15:28:26 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 42
[17-Feb-2015 15:29:03 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 42
[17-Feb-2015 15:32:11 UTC] PHP Notice:  Undefined index: query in /home/ubuntu/workspace/api/index.php on line 10
[18-Feb-2015 01:56:58 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 52
[18-Feb-2015 02:00:14 UTC] PHP Notice:  Undefined variable: query in /home/ubuntu/workspace/api/index.php on line 44
[18-Feb-2015 02:00:14 UTC] PHP Notice:  Undefined variable: query in /home/ubuntu/workspace/api/index.php on line 46
[18-Feb-2015 02:01:51 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 47
[18-Feb-2015 02:02:09 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 47
[18-Feb-2015 02:02:14 UTC] PHP Fatal error:  Call to a member function execute() on a non-object in /home/ubuntu/workspace/api/index.php on line 47
[18-Feb-2015 02:11:18 UTC] PHP Parse error:  syntax error, unexpected 'SELECT' (T_STRING) in /home/ubuntu/workspace/api/index.php on line 43
[18-Feb-2015 02:11:21 UTC] PHP Parse error:  syntax error, unexpected 'SELECT' (T_STRING) in /home/ubuntu/workspace/api/index.php on line 43
[18-Feb-2015 02:11:33 UTC] PHP Parse error:  syntax error, unexpected 'SELECT' (T_STRING) in /home/ubuntu/workspace/api/index.php on line 43
[18-Feb-2015 02:11:36 UTC] PHP Parse error:  syntax error, unexpected 'SELECT' (T_STRING) in /home/ubuntu/workspace/api/index.php on line 43
[18-Feb-2015 02:11:50 UTC] PHP Parse error:  syntax error, unexpected 'SELECT' (T_STRING) in /home/ubuntu/workspace/api/index.php on line 43
[18-Feb-2015 02:11:55 UTC] PHP Parse error:  syntax error, unexpected 'SELECT' (T_STRING) in /home/ubuntu/workspace/api/index.php on line 43
[18-Feb-2015 02:11:59 UTC] PHP Parse error:  syntax error, unexpected 'SELECT' (T_STRING) in /home/ubuntu/workspace/api/index.php on line 43
[18-Feb-2015 02:12:38 UTC] PHP Notice:  Undefined index: query in /home/ubuntu/workspace/api/index.php on line 10
[18-Feb-2015 02:14:11 UTC] PHP Notice:  Undefined index: query in /home/ubuntu/workspace/api/index.php on line 10
[18-Feb-2015 02:14:50 UTC] PHP Notice:  Undefined variable: query in /home/ubuntu/workspace/api/index.php on line 46
